diagnosis,category
HYPOXIA,respiratory
SMALL BOWEL OBSTRUCTION,gastrointestinal
BRAIN MASS,neurological
BRAIN TUMOR/SDA,neurological
WEAKNESS,symptoms_unspecified
CHOLANGITIS,hepatobiliary
HYPONATREMIA,endocrine_metabolic
HEMOPTYSIS,respiratory
STEMI,cardiovascular
PULMONARY EMBOLIS,cardiovascular
MYOCARDIAL INFARCTION\CATH,cardiovascular
UROSEPSIS,infectious
STROKE/TIA,neurological
BRADYCARDIA,cardiovascular
CHOLECYSTITIS,hepatobiliary
BOWEL OBSTRUCTION,gastrointestinal
ABDOMINAL AORTIC ANEURYSM/SDA,cardiovascular
CHEST PAIN;TELEMETRY,symptoms_unspecified
ST ELEVATED MYOCARDIAL INFARCTION,cardiovascular
DEHYDRATION,endocrine_metabolic
ETOH WITHDRAWAL,psychiatric
PERICARDIAL EFFUSION,cardiovascular
SYNCOPE;TELEMETRY,cardiovascular
PREMATURITY,pregnancy_obstetric
ACUTE MYOCARDIAL INFARCTION\CATH,cardiovascular
ABDOMINAL AORTIC ANEURYSM,cardiovascular
SUBDURAL HEMORRHAGE,neurological
ESOPHAGEAL CA/SDA,oncology
INTRAPARENCHYMAL HEMORRHAGE,neurological
HYPERKALEMIA,endocrine_metabolic
CEREBROVASCULAR ACCIDENT,neurological
PLEURAL EFFUSION,respiratory
UNSTABLE ANGINA\CATH,cardiovascular
RENAL FAILURE,renal
STATUS POST MOTOR VEHICLE ACCIDENT WITH INJURIES,trauma_injury
TRAUMA,trauma_injury
AORTIC STENOSIS,cardiovascular
ASTHMA/COPD EXACERBATION,respiratory
SEIZURES,neurological
STROKE;TELEMETRY,neurological
ENDOCARDITIS,infectious
UNRESPONSIVE,symptoms_unspecified
+ETT\CATH,postoperative_surgical
PULMONARY EMBOLISM,cardiovascular
ASTHMA;CHRONIC OBST PULM DISEASE,respiratory
FAILURE TO THRIVE,other
NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION,cardiovascular
STROKE,neurological
HYPOGLYCEMIA,endocrine_metabolic
VENTRAL HERNIA/SDA,gastrointestinal
CORONARY ARTERY DISEASE\ANGIOPLASTY,cardiovascular
ICH,neurological
MITRAL REGURGITATION,cardiovascular
MENINGITIS,infectious
HEAD TRAUMA,trauma_injury
CAROTID STENOSIS\CAROTID ANGIOGRAM,cardiovascular
CONGESTIVE HEART FAILURE;TELEMETRY,cardiovascular
EPIDURAL ABSCESS,infectious
R/O MI,cardiovascular
S/P ARREST,other
CARDIOGENIC SHOCK,cardiovascular
S/P ASSAULT,trauma_injury
ACUTE LEUKEMIA,hematologic
BLADDER CANCER/SDA,oncology
ASCITES,gastrointestinal
BRIGHT RED BLOOD PER RECTUM,gastrointestinal
ACUTE MI,cardiovascular
INCISIONAL HERNIA/SDA,gastrointestinal
S/P FALL;TELEMETRY,trauma_injury
CHF EXACERBATION,cardiovascular
HEMOTHORAX,respiratory
HYPOTHERMIA,other
MR\MITRAL VALVE REPLACEMENT MINIMALLY INVASIVE APPROACH/SDA,cardiovascular
CLAUDICATION/SDA,cardiovascular
HYDROCEPHALUS,neurological
RETROPERITONEAL BLEED,trauma_injury
EPIDURAL HEMATOMA,trauma_injury
DRUG REFRACTORY ATRIAL FIBRILLATION\PULMONARY VEIN ISOLATION  **REMOTE WEST**/SDA,cardiovascular
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH MVR /SDA,cardiovascular
FALL,trauma_injury
JAUNDICE,hepatobiliary
BLADDER CA/SDA,oncology
UPPER GI BLEED;TELEMETRY,gastrointestinal
STAB WOUND,trauma_injury
UNSTABLE ANGINA\LEFT HEART CATHETERIZATION,cardiovascular
RESPIRATORY ARREST,respiratory
CHANGE IN MENTAL STATUS,symptoms_unspecified
HEART BLOCK,cardiovascular
ACUTE MYOCARDIAL INFARCTION\CARDIAC CATH,cardiovascular
END STAGE RENAL DISEASE,renal
DEEP VEIN THROMBOSIS,cardiovascular
MYOCARDIAL INFARCTION\CARDIAC CATH,cardiovascular
TRACHEOBRONCHOMALACIA/SDA,respiratory
ANGINA,cardiovascular
CVA,neurological
HEAD MASS,oncology
S/P MVA,trauma_injury
LIVER MASS/SDA,oncology
CHEST PAIN;+ETT\CATH,symptoms_unspecified
VARICEAL BLEED,gastrointestinal
PELVIC FRACTURE,trauma_injury
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT,cardiovascular
AORTIC STENOSIS\CORONARY ARTERY BYPASS GRAFT WITH AVR /SDA,cardiovascular
CORONARY ARTERY DISEASE\CARDIAC CATH,cardiovascular
LUNG CANCER/SDA,oncology
CAROTID STENOSIS/SDA,cardiovascular
SPLENIC LACERATION,trauma_injury
BRAIN TUMOR,neurological
GUN SHOT WOUND,trauma_injury
MOTOR VEHICLE ACCIDENT,trauma_injury
SEPTIC SHOCK,infectious
ASPIRATION PNEUMONIA,respiratory
S/P PEDESTRIAN STRUCK,trauma_injury
STROKE-TRANSIENT ISCHEMIC ATTACK,neurological
STERNAL WOUND INFECTION,infectious
ORGAN DONOR ACCOUNT,other
INTRACRANIAL HEMORRHAGE;TELEMETRY,neurological
TACHYCARDIA,cardiovascular
LUMBAR STENOSIS/SDA,musculoskeletal
ASTHMA,respiratory
CHRONIC RENAL FAILURE/SDA,renal
BRAIN MASS/SDA,neurological
UTI/PYELONEPHRITIS,genitourinary
BRAIN ANEURYSM/SDA,neurological
ENCEPHALOPATHY,neurological
HEART FAILURE,cardiovascular
MOTOR VEHICLE ACCIDENT WITH UNSPECIFIED INJURIES,trauma_injury
CONGESTIVE HEART FAILURE\CATH,cardiovascular
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT,cardiovascular
PELVIC MASS/SDA,oncology
BACTEREMIA,infectious
GASTROINTESTINAL BLEED;TELEMETRY,gastrointestinal
FEMUR FRACTURE,trauma_injury
ANGINA\CATH,cardiovascular
NON Q MI\CATH,cardiovascular
SUBARACHNOID HEMATOMA,neurological
AORTIC STENOSIS\CATH,cardiovascular
LUNG CANCER,oncology
CHRONIC RENAL FAILURE,renal
MOTOR VEHICLE ACCIDENT\INJURIES,trauma_injury
ANEURYSM,cardiovascular
HEMATURIA,genitourinary
ETOH INTOXICATION,toxicology_poisoning
PNEUMOTHORAX,respiratory
DIVERTICULITIS,gastrointestinal
ASTHMA EXACERBATION,respiratory
CAD,cardiovascular
MULTIPLE TRAUMA,trauma_injury
HIP FRACTURE,trauma_injury
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH AVR /SDA,cardiovascular
CEREBRAL ANEURYSM/SDA,neurological
INTRACRANIAL BLEED,neurological
SYNCOPE,cardiovascular
HEADACHE,neurological
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT/SDA,cardiovascular
S/P CARDIAC ARREST,cardiovascular
COPD EXACERBATION,respiratory
ANGIOEDEMA,other
ESOPHAGEAL CANCER/SDA,oncology
HYPERGLYCEMIA,endocrine_metabolic
MORBID OBESITY/SDA,endocrine_metabolic
COMPLETE HEART BLOCK,cardiovascular
ANEURYSM/SDA,neurological
PULMONARY EDEMA,cardiovascular
ATRIAL FIBRILLATION,cardiovascular
MENTAL STATUS CHANGES,neurological
HYPERTENSIVE EMERGENCY,cardiovascular
RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,cardiovascular
WOUND INFECTION,infectious
HEPATIC ENCEPHALOPATHY,hepatobiliary
VENTRICULAR TACHYCARDIA,cardiovascular
PNEUMONIA;TELEMETRY,infectious
LUNG CA/SDA,oncology
PANCREATIC MASS/SDA,oncology
AIRWAY OBSTRUCTION,respiratory
CHEST PAIN\CARDIAC CATH,cardiovascular
TYLENOL OVERDOSE,toxicology_poisoning
COLITIS,gastrointestinal
ALCOHOL WITHDRAWAL,psychiatric
POLYTRAUMA,trauma_injury
PULMONARY EMBOLUS,cardiovascular
PEDESTRIAN STRUCK,trauma_injury
HEAD INJURY,trauma_injury
SEPSIS;TELEMETRY,infectious
HYPERTENSION,cardiovascular
URINARY TRACT INFECTION,genitourinary
HYPERTENSIVE URGENCY,cardiovascular
END STAGE LIVER DISEASE,hepatobiliary
CHRONIC OBST PULM DISEASE,respiratory
CIRRHOSIS,hepatobiliary
LYMPHOMA,hematologic
LEUKEMIA,hematologic
SCOLIOSIS/SDA,musculoskeletal
BACK PAIN,symptoms_unspecified
SAH,neurological
LIVER LACERATION,trauma_injury
LIVER TRANSPLANT,hepatobiliary
MENINGIOMA/SDA,neurological
DIARRHEA,gastrointestinal
ST ELEVATION MI,cardiovascular
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; WITH AVR/SDA,cardiovascular
CONGESTIVE HEART FAILURE;PNEUMONIA,cardiovascular
INTRACEREBRAL HEMORRHAGE,neurological
ISCHEMIC BOWEL,gastrointestinal
COPD FLARE,respiratory
APPENDICITIS,gastrointestinal
CEREBRAL VASCULAR ACCIDENT,neurological
STROKE;TIA,neurological
TRANSIENT ISCHEMIC ATTACK,neurological
CAROTID STENOSIS,cardiovascular
NECROTIZING PANCREATITIS,gastrointestinal
INTERCRANIAL HEMORRHAGE,neurological
"STROKE,TRANSIENT ISCHEMIC ATTACK",neurological
HEPATIC FAILURE,hepatobiliary
MITRAL STENOSIS\MITRAL VALVE REPLACEMENT /SDA,cardiovascular
ACUTE PANCREATITIS,gastrointestinal
PERFORATED BOWEL,gastrointestinal
MESENTERIC ISCHEMIA,gastrointestinal
S/P MI\CATH,cardiovascular
DIVERTICULITIS/SDA,gastrointestinal
GALLSTONE PANCREATITIS,gastrointestinal
FEBRILE NEUTROPENIA,infectious
ALTERED MENTAL STATUS;TELEMETRY,neurological
AORTIC ANEURYSM,cardiovascular
ABSCESS,infectious
HEPATITIS,infectious
THORACIC ANEURYSM/SDA,cardiovascular
PNEUMONIA;SEPSIS,infectious
S/P MOTORCYCLE ACCIDENT,trauma_injury
THROMBOCYTOPENIA,hematologic
ISCHEMIC FOOT,cardiovascular
PERIPHERAL VASCULAR DISEASE,cardiovascular
C2 FRACTURE,trauma_injury
DKA,endocrine_metabolic
ACUTE CORONARY SYNDROME\CATH,cardiovascular
SUBDURAL BLEED,neurological
MR\MITRAL VALVE REPLACEMENT/SDA,cardiovascular
NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION\CATH,cardiovascular
SOB,symptoms_unspecified
INTRACRANIAL MASS,neurological
CEREBRAL ANEURYSM,neurological
SUB ARACHNOID HEMORRHAGE,neurological
ABDOMINAL ABSCESS,infectious
FEVER;HYPOTENSION,symptoms_unspecified
