DIAGNOSIS,count
NEWBORN,7931
PNEUMONIA,1663
SEPSIS,1291
CONGESTIVE HEART FAILURE,1026
CORONARY ARTERY DISEASE,898
CHEST PAIN,818
ALTERED MENTAL STATUS,766
INTRACRANIAL HEMORRHAGE,754
GASTROINTESTINAL BLEED,734
ABDOMINAL PAIN,615
UPPER GI BLEED,609
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT /SDA,591
FEVER,556
S/P FALL,479
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT/SDA,468
DIABETIC KETOACIDOSIS,466
LOWER GI BLEED,465
SUBARACHNOID HEMORRHAGE,454
HYPOTENSION,453
STROKE;TELEMETRY;TRANSIENT ISCHEMIC ATTACK,358
SEIZURE,311
ACUTE RENAL FAILURE,291
SUBDURAL HEMATOMA,286
PANCREATITIS,282
RESPIRATORY FAILURE,267
S/P MOTOR VEHICLE ACCIDENT,250
DYSPNEA,249
UPPER GASTROINTESTINAL BLEED,241
SHORTNESS OF BREATH,241
ACUTE CORONARY SYNDROME,240
LIVER FAILURE,238
CORONARY ARTERY DISEASE\CATH,234
BLUNT TRAUMA,230
ACUTE SUBDURAL HEMATOMA,216
OVERDOSE,209
ASTHMA;COPD EXACERBATION,202
ANEMIA,183
MYOCARDIAL INFARCTION,183
CELLULITIS,181
RESPIRATORY DISTRESS,179
LOWER GASTROINTESTINAL BLEED,177
CHEST PAIN\CATH,176
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT /SDA,169
UNSTABLE ANGINA,162
ACUTE MYOCARDIAL INFARCTION,160
HEAD BLEED,156
GI BLEED,153
URINARY TRACT INFECTION;PYELONEPHRITIS,149
CARDIAC ARREST,149
AORTIC DISSECTION,141
HYPOXIA,140
SMALL BOWEL OBSTRUCTION,137
BRAIN MASS,137
BRAIN TUMOR/SDA,135
WEAKNESS,135
CHOLANGITIS,130
HYPONATREMIA,128
HEMOPTYSIS,122
STEMI,115
PULMONARY EMBOLIS,115
MYOCARDIAL INFARCTION\CATH,115
UROSEPSIS,115
STROKE/TIA,115
BRADYCARDIA,114
CHOLECYSTITIS,111
BOWEL OBSTRUCTION,111
ABDOMINAL AORTIC ANEURYSM/SDA,111
